HW 2, Calculating least square fit: 
n=3, max=8.68732, avg=1.36969, max=2.43469
n=4, max=8.66906, avg=1.40585, max=2.43236
n=5, max=7.19798, avg=1.26706, max=1.98739
n=6, max=5.98096, avg=1.24698, max=1.79948
n=7, max=4.56486, avg=0.81209, max=1.3536
n=8, max=4.42599, avg=0.779108, max=1.31577
n=9, max=4.46563, avg=0.738706, max=1.31345
n=10, max=3.78437, avg=0.761989, max=1.20438
n=11, max=2.70973, avg=0.704122, max=1.01901
n=12, max=1.9704, avg=0.559523, max=0.714232
n=13, max=3.23032, avg=0.946798, max=1.27341
n=14, max=4.65108, avg=1.49001, max=1.91789
n=15, max=1.62698, avg=0.604269, max=0.722822
n=16, max=1.54822, avg=0.317002, max=0.506808
n=17, max=1.29951, avg=0.353734, max=0.485627
n=18, max=1.88287, avg=0.406241, max=0.625326
Done
